,Pattern,Name,Date,Trend
0,BullishEngulphing,ADANIPORTS,2022-01-27 00:00:00,Bullish
1,PaperUmbrella,ASIANPAINT,2022-01-27 00:00:00,Varies
2,PaperUmbrella,BPCL,2022-01-27 00:00:00,Varies
3,ShootingStar,BRITANNIA,2022-01-28 00:00:00,Varies
4,ShootingStar,COALINDIA,2022-01-28 00:00:00,Varies
5,PaperUmbrella,DIVISLAB,2022-01-24 00:00:00,Varies
6,PaperUmbrella,GRASIM,2022-01-27 00:00:00,Varies
7,ShootingStar,HCLTECH,2022-01-28 00:00:00,Varies
8,BullishHarami,HCLTECH,2022-01-28 00:00:00,Bullish
9,ShootingStar,HDFCLIFE,2022-01-28 00:00:00,Varies
10,ShootingStar,HINDUNILVR,2022-01-28 00:00:00,Varies
11,BullishHarami,ITC,2022-01-25 00:00:00,Bullish
12,ShootingStar,IOC,2022-01-28 00:00:00,Varies
13,BullishEngulphing,IOC,2022-01-25 00:00:00,Bullish
14,ShootingStar,INDUSINDBK,2022-01-28 00:00:00,Varies
15,ShootingStar,INFY,2022-01-28 00:00:00,Varies
16,BullishHarami,INFY,2022-01-28 00:00:00,Bullish
17,ShootingStar,SHREECEM,2022-01-28 00:00:00,Varies
18,BearishMarubozo,SBIN,2022-01-28 00:00:00,Bearish
19,BullishEngulphing,SUNPHARMA,2022-01-25 00:00:00,Bullish
20,BullishEngulphing,TATACONSUM,2022-01-27 00:00:00,Bullish
21,ShootingStar,TITAN,2022-01-28 00:00:00,Varies
22,BullishHarami,TITAN,2022-01-28 00:00:00,Bullish
23,PaperUmbrella,ULTRACEMCO,2022-01-27 00:00:00,Varies
24,ShootingStar,ULTRACEMCO,2022-01-28 00:00:00,Varies
25,BullishHarami,WIPRO,2022-01-28 00:00:00,Bullish
26,BullishEngulphing,^NSEI,2022-01-27 00:00:00,Bullish
27,BearishMarubozo,^NSEBANK,2022-01-28 00:00:00,Bearish
